neologisme,influencia ,context ,distractor ,incorrecte 1,incorrecte 2
quinto,no,"A la festa major, el cambrer li va portar un <mask> de cervesa ben fred mentre esperava que comencés la música.",got,glop,refresc
fangoteràpia,no,"La clínica ofereix tractaments de benestar com massatges, hidromassatge i sessions de <mask> per alleujar les tensions musculars",fisioteràpia,estètica,vapor
velcro,no,Les bambes dels nens petits porten <mask> per facilitar que se les puguin posar sols.,cremallera,cordons,pintura
mutar,no,"Els científics van observar que el virus podia <mask> ràpidament, cosa que complicava el desenvolupament de la vacuna.",evolucionar,desaparèixer,menjar
prepagament,no,Per reservar l'apartament de vacances cal fer un <mask> del 30% de l'import total en el moment de la confirmació.,crèdit,regal,transport
perinatal,no,El centre sanitari ofereix acompanyament <mask> a les famílies durant els mesos previs i posteriors al part.,infantil,natural,escolar
homoparentals,no,La nova llei reconeix plenament les families <mask> i garanteix els mateixos drets a totes les estructures familiars.,biparentals,nombroses,industrals
postedició,no,"Amb l'auge de la traducció automàtica, cada vegada hi ha més feina de <mask> per revisar i millorar els textos generats per la màquina",correcció,autoaprenentatge,lectura
ruralitat,no,El documental explora com la <mask> ha anat desapareixent a mesura que els joves abandonen els pobles per buscar feina a la ciutat.,pagesia,campanya,distància
festius,no,La botiga romandrà tancada els caps de setmana i els dies <mask> del mes de gener.,lliures,laborables,dilluns
expats,sí,El barri del Poblenou s'ha convertit en un punt de trobada dels <mask> europeus que teletreball des de Barcelona.,forasters,immigrants,ciutadans
backstage,sí,"Gràcies als abonaments VIP, els fans van poder accedir al <mask> i saludar els músics abans del concert.",vestíbul,camerino,taller
software,sí,Per editar les fotos necessites instal·lar un <mask> de retoc d'imatges al teu ordinador.,algoritme,hardware,compost
mainstream,sí,La música indie que escoltaven fa deu anys ara és completament <mask> i sona a totes les ràdios comercials.,mercat,escenari,estil
gamers,sí,"La plataforma de retransmissió en directe ha disparat la popularitat dels <mask> professionals, que ara omplen pavellons com si fossin esportistes d'elit.",usuaris,assistents,experts
queer,sí,La manifestació va reunir persones <mask> de tot el país per reivindicar els drets del col·lectiu LGTBI davant de les retallades legislatives.,activistes,joves,digitals
boomers,sí,Molts <mask> reconeixen que van tenir accés a l'habitatge i a la feina estable en unes condicions que les generacions actuals ja no poden reproduir.,adults,conservadors,professors
target,sí,La campanya publicitària estava dirigida a un <mask> de joves d'entre divuit i trenta anys amb interès per la moda sostenible.,market,gènere,disc
streaming,sí,"Des que existeix el <mask>, molta gent ha deixat de comprar DVD i prefereix veure les sèries en línia.",vídeo,link,mail
background,sí,"Durant l'entrevista de feina, la responsable de selecció li va preguntar pel seu <mask>: quina formació tenia, on havia treballat i quins projectes havia liderat.",comportament,post,telèfon
